"id","name","now_cost","position","team","points_per_game","ict_index_rank","influence","creativity_rank","goals_scored","points_per_game_rank","threat","influence_rank_type","expected_goals_conceded","in_dreamteam","goals_conceded","news","transfers_in_event","yellow_cards","expected_assists","expected_goals_conceded_per_90","starts","ep_this","direct_freekicks_order","goals_conceded_per_90","expected_assists_per_90","ict_index_rank_type","expected_goals_per_90","chance_of_playing_this_round","bonus","points_per_game_rank_type","news_added","now_cost_rank","expected_goal_involvements","penalties_order","web_name","clean_sheets","transfers_out","selected_rank_type","expected_goals","clean_sheets_per_90","form_rank_type","selected_by_percent","ict_index","transfers_in","expected_goal_involvements_per_90","threat_rank","status","form","value_season","saves_per_90","event_points","influence_rank","assists","dreamteam_count","transfers_out_event","ep_next","total_points","bps","selected_rank","corners_and_indirect_freekicks_order","value_form","creativity_rank_type","now_cost_rank_type","form_rank","saves","red_cards","creativity","threat_rank_type","chance_of_playing_next_round","starts_per_90","minutes"
"1","Folarin Balogun","45","FWD","Arsenal","0","394","0","386","0","435","0","25","0","false","0","","2413","0","0","0","0","1.5","0","0","0","28","0","100","0","40","2023-08-07 15:30:05.135","436","0","0","Balogun","0","3798","38","0","0","40","0.8","0","2413","0","366","a","0","0","0","0","388","0","0","3798","1.5","0","0","196","","0","27","68","435","0","0","0","28","100","0","0"
"2","Cédric Alves Soares","40","DEF","Arsenal","0","211","0","193","0","259","0","74","0","false","0","","763","0","0","0","0","1.5","0","0","0","73","0","0","0","81","","554","0","0","Cédric","0","1530","92","0","0","81","0.4","0","763","0","155","a","0","0","0","0","205","0","0","1530","1.5","0","0","252","","0","70","154","259","0","0","0","47","0","0","0"
"3","Mohamed Elneny","45","MID","Arsenal","0","348","0","337","0","388","0","103","0","false","0","Knee injury - Unknown return date","48","0","0","0","0","0","0","0","0","107","0","0","0","129","2023-08-11 13:00:06.079","362","0","0","M.Elneny","0","1780","143","0","0","129","0.1","0","48","0","307","i","0","0","0","0","343","0","0","1780","0","0","0","430","","0","105","206","388","0","0","0","90","0","0","0"
"4","Fábio Ferreira Vieira","55","MID","Arsenal","0","623","0","621","0","627","0","258","0","false","0","","262","0","0","0","0","2.6","0","0","0","262","0","0","0","264","","137","0","0","Fábio Vieira","0","894","136","0","0","264","0.1","0","262","0","619","a","0","0","0","0","619","0","0","894","2.6","0","0","415","","0","261","89","627","0","0","0","259","0","0","0"
"5","Gabriel dos Santos Magalhães","50","DEF","Arsenal","1","559","0.2","554","0","218","0","72","0.02","false","0","","22146","0","0","0.45","0","2.8","0","0","0","210","0","0","0","77","","255","0","0","Gabriel","0","87447","3","0","0","77","32.1","0","22146","0","546","a","1","0.2","0","1","196","0","0","87447","2.8","1","2","7","","0.2","210","31","218","0","0","0","209","0","0","4"
"6","Kai Havertz","75","MID","Arsenal","2","54","9.4","22","0","156","15","51","1.18","false","1","","3789","0","0.24","1.18","1","3.1","0","1","0.24","29","0.05","0","0","73","","24","0.29","0","Havertz","0","19337","23","0.05","0","73","4.9","5.5","3789","0.29","58","a","2","0.3","0","2","130","0","0","19337","3.1","2","11","73","","0.3","16","14","156","0","0","30.3","34","0","1","90"
"7","Rob Holding","45","DEF","Arsenal","0","349","0","338","0","389","0","158","0","false","0","","414","0","0","0","0","2.5","0","0","0","156","0","0","0","160","","364","0","0","Holding","0","1146","135","0","0","160","0.2","0","414","0","309","a","0","0","0","0","344","0","0","1146","2.5","0","0","349","","0","154","74","389","0","0","0","139","0","0","0"
"8","Gabriel Fernando de Jesus","80","FWD","Arsenal","0","655","0","655","0","652","0","86","0","false","0","Knee injury - Unknown return date","2281","0","0","0","0","0","0","0","0","86","0","0","0","86","2023-08-02 21:00:03.961","15","0","2","G.Jesus","0","40832","23","0","0","86","2","0","2281","0","655","i","0","0","0","0","654","0","0","40832","0","0","0","127","","0","86","6","652","0","0","0","86","0","0","0"
"9","Jorge Luiz Frello Filho","55","MID","Arsenal","0","598","0","592","0","605","0","240","0","false","0","","700","0","0","0","0","2.6","0","0","0","244","0","100","0","248","2023-08-07 15:30:05.168","85","0","0","Jorginho","0","1295","99","0","0","248","0.2","0","700","0","587","a","0","0","0","0","593","0","0","1295","2.6","0","0","328","","0","242","53","605","0","0","0","237","100","0","0"
"10","Jakub Kiwior","45","DEF","Arsenal","0","425","0","418","0","462","0","192","0","false","0","","86","0","0","0","0","2.5","0","0","0","191","0","0","0","194","","474","0","0","Kiwior","0","581","163","0","0","194","0.1","0","86","0","399","a","0","0","0","0","420","0","0","581","2.5","0","0","427","","0","191","137","462","0","0","0","185","0","0","0"
